"","fish_identifier","c_sp_fao","sample_label","sample_owner","scientific_name","sp_category","family","tissue","sample_position","c_ocean","sampling_date","lon_dec","lat_dec","EEZ","sex","macro_matury_stage","length_cm","c_length","whole_fishweight_kg","water_content","lipid_content","isoNC_lab","d13C_pm","X_C","d15N_pm","X_N","C_N","isoNC_sample_status","THg_lab","THg_analysis_method","THg_dw_ppb","THg_ww_ppb","THg_sample_status","comment","SST","MLD","Chl.a","NPP","d20","d18","d12","O2_375m","O2_200m","O2_100m","O2_50m","OCRR_375m","OCRR_200m","OCRR_100m","OCRR_50m","OCRR_total","d13Cdic","d13Cpom","d15Nno3","d15Npom","doxycline","dmaxremin","dnethetero","export_100m","export_dnethetero","Hg0_2x2.5","Hg0_6x7.5","drydep_2x2.5","drydep_6x7.5","wetdep_2x2.5","wetdep_6x7.5","totdep_2x2.5","totdep_6x7.5","d13C_cor","sample_year","region","region.col"
"290","104653_114200_10903","ALB","ALBTAG_2_132501_A_10903","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,98,"FL",NA,NA,NA,"",-17.8,"46",10.7,"13.3",3.5,"bulk","GET","DMA/AMA",900,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-17.8,2010,"WPO","seagreen"
"291","104654_114201_10904","ALB","ALBTAG_2_132502_A_10904","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,99,"FL",NA,NA,NA,"",-17.5,"45",11.5,"14.3",3.1,"bulk","GET","DMA/AMA",2035,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-17.5,2010,"WPO","seagreen"
"292","104655_114202_10905","ALB","ALBTAG_2_132503_A_10905","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,94,"FL",NA,NA,NA,"",-17.4,"45",11.6,"14.1",3.2,"bulk","GET","DMA/AMA",779,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-17.4,2010,"WPO","seagreen"
"293","104656_114203_10906","ALB","ALBTAG_2_132504_A_10906","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,90,"FL",NA,NA,NA,"",-17.8,"45",11.6,"13.3",3.4,"bulk","GET","DMA/AMA",1263,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-17.8,2010,"WPO","seagreen"
"294","104657_114204_10907","ALB","ALBTAG_2_132505_A_10907","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","M",999,101,"FL",NA,NA,NA,"",-18,"46",11.2,"12.7",3.6,"bulk","GET","DMA/AMA",1645,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-16.9536202777778,2010,"WPO","seagreen"
"295","104661_114208_10911","ALB","ALBTAG_2_132507_A_10911","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","F",999,94,"FL",NA,NA,NA,"",-16.7,"44",11.2,"14.3",3.1,"bulk","GET","DMA/AMA",827,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-16.7,2010,"WPO","seagreen"
"296","104664_114211_10914","ALB","ALBTAG_2_132508_A_10914","CPS/Allain","Thunnus alalunga","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,94,"FL",NA,NA,NA,"",-17.4,"44",11.6,"13.9",3.2,"bulk","GET","DMA/AMA",929,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,NA,NA,NA,NA,NA,NA,NA,NA,-17.4,2010,"WPO","seagreen"
"297","104667_114214_10917","YFT","ALBTAG_2_132509_A_10917","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,82,"FL",NA,NA,NA,"",-17.2,"42",9.5,"13.3",3.2,"bulk","GET","DMA/AMA",212,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,0.9,0.9,5.64,4.26,6.16,6.12,11.8,10.38,-17.2,2010,"WPO","seagreen"
"298","104669_114216_10919","YFT","ALBTAG_2_132510_A_10919","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","unknown",999,107,"FL",NA,NA,NA,"",-17.4,"43",10.1,"13.4",3.2,"bulk","GET","DMA/AMA",346,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,0.9,0.9,5.64,4.26,6.16,6.12,11.8,10.38,-17.4,2010,"WPO","seagreen"
"299","104670_114217_10920","YFT","ALBTAG_2_132511_A_10920","CPS/Allain","Thunnus albacares","fish","Scombridae","white muscle","A","PO","24.03.2010",162.6,-20.9,"NC","F",999,109,"FL",NA,NA,NA,"",-18.8,"47",10.1,"11.7",4,"bulk","GET","DMA/AMA",235,NA,"bulk","",26.85,34.20571429,0.080217143,0.163228571,232.2285714,285.4857143,456.8428571,192.3285714,191.4857143,215.8428571,208.0142857,1.0247,4.754714286,54.15,5.462142857,57.33571429,2.444,-18.96428571,5.965918571,3.782714286,127.2571429,101.4957143,124.5857143,19.87,12.60714286,0.9,0.9,5.64,4.26,6.16,6.12,11.8,10.38,-17.10935825,2010,"WPO","seagreen"
