fish_identifier,SST,MLD,Chl.a,NPP,d20,d18,d12,O2_375m,O2_200m,O2_100m,O2_50m,OCRR_375m,OCRR_200m,OCRR_100m,OCRR_50m,OCRR_total,d13Cdic,d13Cpom,d15Nno3,d15Npom,doxycline,dmaxremin,dnethetero,export_100m,export_dnethetero,Hg0_2x2.5,Hg0_6x7.5,drydep_2x2.5,drydep_6x7.5,wetdep_2x2.5,wetdep_6x7.5,totdep_2x2.5,totdep_6x7.5,d13C_cor,sample_year,region,region.col
107486_117921_,29.94,39.38428571,0.190385714,0.408842857,186.8428571,200.2428571,275.0571429,166.0714286,167.7428571,199.1142857,198.1714286,0.5007,2.533428571,66.49428571,101.16,142.2142857,2.556857143,-17.17142857,12.27342857,6.719285714,131.1142857,52.18142857,71.30428571,46.79571429,31.80857143,1.08,1.08,2.57,2.64,18.31,18.12,20.88,20.76,-16.89,2013,WPO,seagreen
107487_117922_,29.94,39.38428571,0.190385714,0.408842857,186.8428571,200.2428571,275.0571429,166.0714286,167.7428571,199.1142857,198.1714286,0.5007,2.533428571,66.49428571,101.16,142.2142857,2.556857143,-17.17142857,12.27342857,6.719285714,131.1142857,52.18142857,71.30428571,46.79571429,31.80857143,1.08,1.08,2.57,2.64,18.31,18.12,20.88,20.76,-16.11,2013,WPO,seagreen
107488_117923_,29.94,39.38428571,0.190385714,0.408842857,186.8428571,200.2428571,275.0571429,166.0714286,167.7428571,199.1142857,198.1714286,0.5007,2.533428571,66.49428571,101.16,142.2142857,2.556857143,-17.17142857,12.27342857,6.719285714,131.1142857,52.18142857,71.30428571,46.79571429,31.80857143,1.08,1.08,2.57,2.64,18.31,18.12,20.88,20.76,-16.42,2013,WPO,seagreen
107587_118023_19171,28.28428571,26.11857143,0.051455714,0.111907143,237.6285714,280.0857143,413.5714286,190.9285714,195.5714286,211.0142857,203.2714286,0.7826,4.491285714,23.01714286,5.166714286,43.03428571,2.477857143,-19.33,8.196428571,4.623571429,144.6,116.9,139.6428571,12.08571429,9.594714286,0.95,0.95,3.88,3.86,8.23,8.89,12.11,12.75,-17,2013,WPO,seagreen
107592_118028_19176,28.72,22.78714286,0.057957143,0.118535714,229.9428571,269.8,392.4428571,184.0142857,191.1428571,210.5714286,202.7714286,0.698071429,3.711142857,23.54142857,7.260571429,41.47571429,2.504857143,-19.31428571,9.151285714,5.288714286,142.2,115.3428571,140.8,13.73428571,10.49585714,0.95,0.95,3.88,3.86,8.23,8.89,12.11,12.75,-16.033245952381,2013,WPO,seagreen
107602_118038_19186,28.43428571,22.79285714,0.06978,0.139685714,229.6857143,269.7571429,393.5142857,183.8714286,190.5857143,210.3142857,203.0714286,0.738071429,3.935285714,37.57285714,8127,49.85857143,2.502857143,-19.05714286,9.063142857,4.959285714,136.4142857,106,130.2571429,16.84571429,11.60714286,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-15.9794954054054,2013,WPO,seagreen
107603_118039_19187,28.43428571,22.79285714,0.06978,0.139685714,229.6857143,269.7571429,393.5142857,183.8714286,190.5857143,210.3142857,203.0714286,0.738071429,3.935285714,37.57285714,8127,49.85857143,2.502857143,-19.05714286,9.063142857,4.959285714,136.4142857,106,130.2571429,16.84571429,11.60714286,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.4580341025641,2013,WPO,seagreen
107606_118042_19190,28.43428571,22.79285714,0.06978,0.139685714,229.6857143,269.7571429,393.5142857,183.8714286,190.5857143,210.3142857,203.0714286,0.738071429,3.935285714,37.57285714,8127,49.85857143,2.502857143,-19.05714286,9.063142857,4.959285714,136.4142857,106,130.2571429,16.84571429,11.60714286,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.6,2013,WPO,seagreen
107607_118043_19191,28.43428571,22.79285714,0.06978,0.139685714,229.6857143,269.7571429,393.5142857,183.8714286,190.5857143,210.3142857,203.0714286,0.738071429,3.935285714,37.57285714,8127,49.85857143,2.502857143,-19.05714286,9.063142857,4.959285714,136.4142857,106,130.2571429,16.84571429,11.60714286,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.40935825,2013,WPO,seagreen
107615_118051_19199,28.55142857,23.84714286,0.067705714,0.140142857,229.3714286,269.5,393.1714286,183.8571429,190.4857143,210.3857143,202.8714286,0.731371429,3.849714286,37.14571429,7.726857143,49.25285714,2.503714286,-19.06285714,9.063857143,4.951714286,136.4142857,106,131.4714286,16.62,11.52714286,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.40935825,2013,WPO,seagreen
107684_118120_19268,26.88714286,33.47714286,0.073241429,0.141585714,232.5285714,276.6857143,415.6857143,189.5428571,192.2857143,211.1,206.4142857,0.829342857,4.038285714,40.98,7.440142857,49.66,2.476857143,-19.10142857,8.325857143,4.266714286,127.0142857,104.4985714,128.8142857,16.67714286,12.23285714,0.93,0.93,1.82,5.69,9.42,8.69,11.24,14.38,-17.6,2013,WPO,seagreen
107686_118122_19270,26.88714286,33.47714286,0.073241429,0.141585714,232.5285714,276.6857143,415.6857143,189.5428571,192.2857143,211.1,206.4142857,0.829342857,4.038285714,40.98,7.440142857,49.66,2.476857143,-19.10142857,8.325857143,4.266714286,127.0142857,104.4985714,128.8142857,16.67714286,12.23285714,0.95,0.95,4.62,4.27,10.08,9.99,14.7,14.26,-16.6,2013,WPO,seagreen
107689_118125_19273,26.80714286,29.85571429,0.071722857,0.1431,234.5857143,278.6142857,417.8428571,189.9857143,192.9142857,210.8428571,206.9,0.856628571,4.461285714,39.31857143,7.346428571,50.77714286,2.473285714,-19.10142857,8.412285714,4.247428571,128.7,104.4985714,130.8,16.57571429,12.36428571,NA,NA,NA,NA,NA,NA,NA,NA,-16.8443536734694,2013,WPO,seagreen
107690_118126_19274,26.80714286,29.85571429,0.071722857,0.1431,234.5857143,278.6142857,417.8428571,189.9857143,192.9142857,210.8428571,206.9,0.856628571,4.461285714,39.31857143,7.346428571,50.77714286,2.473285714,-19.10142857,8.412285714,4.247428571,128.7,104.4985714,130.8,16.57571429,12.36428571,NA,NA,NA,NA,NA,NA,NA,NA,-16.8794954054054,2013,WPO,seagreen
107691_118127_19275,26.75571429,33.91714286,0.065062857,0.1375,234.6,278.5714286,418.8857143,189.3714286,191.5142857,211.3285714,206.9714286,0.838557143,4.100857143,33.89714286,6.765714286,47.74571429,2.472714286,-19.20285714,7.84,4.207285714,130.6285714,106,135.4428571,14.92857143,11.96428571,NA,NA,NA,NA,NA,NA,NA,NA,-17.5794954054054,2013,WPO,seagreen
107693_118129_19277,26.58,34.5,0.063998571,0.141771429,235.8,279.7,420,189.5142857,191.6,211.1428571,207.6571429,0.856057143,4.263714286,33.71285714,6.792857143,48.57571429,2.471428571,-19.20142857,7.794428571,4.228285714,130.6285714,106,137.4571429,14.85285714,12.29428571,NA,NA,NA,NA,NA,NA,NA,NA,-18.9,2013,WPO,seagreen
107696_118132_19280,27.15,26.51428571,0.068188571,0.145842857,234.7857143,278.7,418.0142857,190.1428571,193.2285714,210.8714286,207.3714286,881,4.682571429,37.70714286,6.972428571,51.28571429,2.471571429,-19.09,8.506142857,4.172714286,130.6285714,107.5571429,133.3714286,16.18285714,12.47142857,NA,NA,NA,NA,NA,NA,NA,NA,-18.5,2013,WPO,seagreen
107707_118143_19291,26.21714286,33.64,0.070932857,0.142557143,232.0857143,280.8714286,436.2857143,195.5285714,195.3,212.7428571,209.9285714,0.9407,4.495428571,36.46428571,7.146285714,49.98714286,2.449285714,-19.14428571,9.038857143,4076,127.0142857,107.5571429,134.1285714,16.21285714,12.63285714,NA,NA,NA,NA,NA,NA,NA,NA,-18.8,2013,WPO,seagreen
107710_118146_19294,26.21714286,33.64,0.070932857,0.142557143,232.0857143,280.8714286,436.2857143,195.5285714,195.3,212.7428571,209.9285714,0.9407,4.495428571,36.46428571,7.146285714,49.98714286,2.449285714,-19.14428571,9.038857143,4076,127.0142857,107.5571429,134.1285714,16.21285714,12.63285714,NA,NA,NA,NA,NA,NA,NA,NA,-18,2013,WPO,seagreen
107711_118147_19295,26.21714286,33.64,0.070932857,0.142557143,232.0857143,280.8714286,436.2857143,195.5285714,195.3,212.7428571,209.9285714,0.9407,4.495428571,36.46428571,7.146285714,49.98714286,2.449285714,-19.14428571,9.038857143,4076,127.0142857,107.5571429,134.1285714,16.21285714,12.63285714,NA,NA,NA,NA,NA,NA,NA,NA,-18.4,2013,WPO,seagreen
107732_118168_19316,28.23,26.57,0.067624286,0.132842857,228.5285714,268.6571429,392.5285714,183.9285714,190.5714286,210.4,203.1714286,0.7017,3.634571429,35.77857143,7.598142857,47.34857143,2.500142857,-19.11714286,8.855428571,4895,136.4142857,106,130.3285714,16.00857143,11.15,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.514535,2013,WPO,seagreen
107740_118176_19324,28.23,26.57,0.067624286,0.132842857,228.5285714,268.6571429,392.5285714,183.9285714,190.5714286,210.4,203.1714286,0.7017,3.634571429,35.77857143,7.598142857,47.34857143,2.500142857,-19.11714286,8.855428571,4895,136.4142857,106,130.3285714,16.00857143,11.15,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.50935825,2013,WPO,seagreen
107741_118177_19325,28.72285714,23.61571429,0.088108571,0.156242857,218.8428571,256.0714286,372.3,177.5,185.2857143,209.6571429,203.1857143,0.6891,3.173714286,40.30857143,12.40385714,50.85714286,2.522428571,-18.82714286,9.647714286,5.448285714,123.6428571,89.63857143,129.4571429,23.01571429,13.53428571,0.97,0.97,4.67,3.57,11.33,11.79,16,15.36,-16.2679348780488,2013,WPO,seagreen
107754_118190_19338,27.38571429,30.01857143,0.060731429,0.120885714,229.1285714,269.2428571,394.4285714,184.2857143,191.1285714,210.2857143,203.7857143,654,3.435857143,30.09285714,6.526428571,43.21857143,2.490857143,-19.21857143,8192,4.686571429,140.2714286,109.1142857,134.0285714,13.74142857,10.38571429,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.6536202777778,2013,WPO,seagreen
107755_118191_19339,27.38571429,30.01857143,0.060731429,0.120885714,229.1285714,269.2428571,394.4285714,184.2857143,191.1285714,210.2857143,203.7857143,654,3.435857143,30.09285714,6.526428571,43.21857143,2.490857143,-19.21857143,8192,4.686571429,140.2714286,109.1142857,134.0285714,13.74142857,10.38571429,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.5,2013,WPO,seagreen
107756_118192_19340,27.38571429,30.01857143,0.060731429,0.120885714,229.1285714,269.2428571,394.4285714,184.2857143,191.1285714,210.2857143,203.7857143,654,3.435857143,30.09285714,6.526428571,43.21857143,2.490857143,-19.21857143,8192,4.686571429,140.2714286,109.1142857,134.0285714,13.74142857,10.38571429,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-16.1794954054054,2013,WPO,seagreen
107757_118193_19341,28.25285714,25.87,0.075794286,0.143157143,220.0142857,257.2571429,374.7857143,177.6428571,185.4428571,210.5285714,202.9,0.673042857,3.166142857,39.78142857,7893,47.44714286,2.517285714,-19.07857143,9.322285714,5.182857143,128.7,97.03,131.3714286,18.83,12.12142857,NA,NA,NA,NA,NA,NA,NA,NA,-16.7,2013,WPO,seagreen
107758_118194_19342,28.25285714,25.87,0.075794286,0.143157143,220.0142857,257.2571429,374.7857143,177.6428571,185.4428571,210.5285714,202.9,0.673042857,3.166142857,39.78142857,7893,47.44714286,2.517285714,-19.07857143,9.322285714,5.182857143,128.7,97.03,131.3714286,18.83,12.12142857,NA,NA,NA,NA,NA,NA,NA,NA,-16.7,2013,WPO,seagreen
107759_118195_19343,28.25285714,25.87,0.075794286,0.143157143,220.0142857,257.2571429,374.7857143,177.6428571,185.4428571,210.5285714,202.9,0.673042857,3.166142857,39.78142857,7893,47.44714286,2.517285714,-19.07857143,9.322285714,5.182857143,128.7,97.03,131.3714286,18.83,12.12142857,0.97,0.97,4.67,3.57,11.33,11.79,16,15.36,-16.214535,2013,WPO,seagreen
107760_118196_19344,28.25285714,25.87,0.075794286,0.143157143,220.0142857,257.2571429,374.7857143,177.6428571,185.4428571,210.5285714,202.9,0.673042857,3.166142857,39.78142857,7893,47.44714286,2.517285714,-19.07857143,9.322285714,5.182857143,128.7,97.03,131.3714286,18.83,12.12142857,0.97,0.97,4.67,3.57,11.33,11.79,16,15.36,-16.9,2013,WPO,seagreen
107761_118197_19345,28.25285714,25.87,0.075794286,0.143157143,220.0142857,257.2571429,374.7857143,177.6428571,185.4428571,210.5285714,202.9,0.673042857,3.166142857,39.78142857,7893,47.44714286,2.517285714,-19.07857143,9.322285714,5.182857143,128.7,97.03,131.3714286,18.83,12.12142857,0.97,0.97,4.67,3.57,11.33,11.79,16,15.36,-16.7,2013,WPO,seagreen
107762_118198_19346,27.38571429,30.01857143,0.060731429,0.120885714,229.1285714,269.2428571,394.4285714,184.2857143,191.1285714,210.2857143,203.7857143,654,3.435857143,30.09285714,6.526428571,43.21857143,2.490857143,-19.21857143,8192,4.686571429,140.2714286,109.1142857,134.0285714,13.74142857,10.38571429,0.94,0.95,1.35,3.69,8.89,8.56,10.24,12.25,-17.2,2013,WPO,seagreen
